25	95	12	28	77
85	33	74	9	61
66	23	34	74	74
85	10	38	4	35
23	54	42	16	37
3	18	54	92	21
63	34	59	51	78
15	58	4	59	10
35	8	18	11	55
78	90	90	34	58
64	64	2	15	94
25	14	10	69	22
2	71	75	72	31
57	98	30	8	18
56	40	33	43	44
66	48	70	73	83
2	27	3	49	84
28	96	39	87	2
23	65	4	97	75
24	15	1	77	8
5	74	77	80	85
91	11	5	10	28
13	69	24	58	36
98	87	79	55	86
62	15	67	38	8
38	94	26	9	76
56	35	77	31	5
99	74	83	1	36
31	5	8	26	22
56	6	79	89	84
60	79	59	19	51
65	52	72	91	6
31	69	80	73	51
34	56	74	17	58
99	15	27	13	65
28	82	12	95	49
4	70	15	70	44
10	89	36	26	88
77	58	32	66	39
58	99	50	64	88
34	61	50	39	88
82	55	49	28	46
33	12	30	60	91
12	54	68	77	31
60	27	43	82	43
8	93	71	17	93
57	37	4	45	33
6	9	50	32	21
73	14	1	92	22
34	48	57	32	98
69	36	57	38	55
78	82	67	56	7
14	77	92	52	41
3	67	50	97	23
74	30	49	76	46
3	17	69	13	76
6	37	13	70	99
3	82	54	68	60
82	32	37	42	62
31	40	1	15	57
29	97	83	82	73
22	22	19	16	69
46	69	29	43	47
59	37	6	53	38
56	79	69	55	99
93	24	22	24	63
30	10	29	5	38
70	76	16	41	90
66	68	86	17	49
62	41	28	17	55
36	31	80	40	24
11	62	79	3	86
97	36	98	57	48
66	1	11	18	3
73	49	9	10	78
44	57	20	52	60
8	62	11	81	46
95	3	16	90	63
0	87	36	92	61
26	59	60	80	97
3	85	89	59	79
57	56	62	10	95
20	53	61	84	29
97	91	36	51	67
38	42	0	8	79
2	91	45	94	42
98	61	90	83	61
4	25	64	24	88
8	55	7	33	66
22	95	75	30	34
21	60	41	23	53
43	80	95	76	45
26	0	39	45	99
88	57	4	64	83
99	27	84	77	16
92	62	21	20	46
8	95	39	29	35
99	37	2	65	61
57	94	31	61	53
24	43	85	83	58
22	50	36	91	14
41	99	1	56	48
42	2	79	28	23
57	50	36	99	31
23	83	96	82	39
32	10	56	50	34
64	33	27	35	2
76	53	8	54	76
61	96	15	46	88
49	1	90	64	15
9	19	68	1	84
74	12	29	79	19
26	60	53	34	99
29	32	96	41	56
42	92	69	74	85
98	1	0	98	7
22	83	31	22	10
13	85	29	74	1
60	72	62	82	66
56	16	3	91	6
58	63	96	47	99
91	44	67	46	21
50	48	44	13	17
54	46	93	73	51
58	72	0	2	91
93	60	89	24	33
41	6	16	52	11
25	7	15	11	81
35	2	97	9	25
94	22	35	80	11
39	13	7	21	50
30	31	38	60	19
93	93	77	97	75
41	30	82	47	32
79	47	71	8	11
83	19	87	31	57
31	19	13	3	23
49	83	89	46	10
59	14	29	35	17
39	16	53	19	70
40	4	5	67	51
50	33	22	46	40
83	68	40	84	95
99	82	9	3	15
6	30	2	78	10
48	60	64	98	30
32	60	42	61	62
49	97	93	73	74
37	68	87	87	71
54	80	15	61	61
51	46	78	95	61
91	16	23	84	46
30	22	42	75	35
33	48	86	11	94
32	62	18	18	76
73	57	44	10	5
86	50	47	57	47
75	48	53	77	70
65	2	58	60	5
12	41	58	16	57
58	79	88	66	32
18	99	99	34	10
2	68	39	33	52
12	39	83	5	15
3	20	5	36	73
36	84	8	48	37
71	34	71	74	17
18	44	96	65	93
92	57	71	33	26
51	99	7	51	64
9	72	5	52	83
84	49	90	96	73
89	42	83	79	72
71	94	24	66	61
62	89	24	58	6
67	26	62	87	51
7	7	92	57	32
50	6	68	59	89
19	11	82	42	51
52	39	60	98	79
14	45	77	54	34
21	47	13	30	70
55	79	63	36	30
19	74	62	2	22
7	25	95	45	28
98	97	31	39	45
21	94	28	62	89
28	55	25	44	56
13	25	66	42	74
90	34	7	3	28
4	31	24	24	7
20	59	49	53	83
76	68	80	7	44
3	42	82	40	23
21	26	57	83	93
97	44	87	59	61
63	90	68	71	84
73	93	11	88	68
15	46	4	43	74
59	34	56	45	76
64	98	1	2	89
9	62	40	88	66
31	95	23	27	92
0	88	51	73	65
30	28	59	98	84
75	28	76	19	55
75	5	54	57	47
14	76	41	87	98
36	17	83	3	82
72	92	7	96	51
47	27	66	30	50
16	14	47	93	86
74	61	87	61	72
94	28	42	33	82
24	85	67	88	62
28	28	79	81	97
65	69	22	97	10
63	14	98	31	0
91	15	64	46	71
49	22	25	73	58
41	7	62	58	46
68	58	91	48	34
49	17	45	6	22
36	80	41	46	14
10	4	3	79	39
45	96	14	74	72
0	89	41	42	99
6	33	76	86	31
17	90	24	33	66
8	71	24	8	64
67	90	44	10	81
70	73	92	79	55
32	75	42	95	6
90	40	66	27	36
17	27	91	14	84
96	66	16	20	10
23	84	35	39	61
11	44	63	71	29
8	94	2	72	92
81	35	58	43	71
0	67	41	25	77
51	51	58	94	64
85	92	38	0	47
30	70	7	59	70
2	64	5	35	95
75	26	45	14	83
96	62	97	19	10
20	4	28	50	41
82	70	92	39	89
28	25	21	31	38
13	20	36	38	97
40	72	75	75	67
3	23	6	76	6
94	15	0	42	95
44	45	8	96	20
0	50	41	72	53
87	80	16	37	44
71	69	27	73	45
55	72	68	14	15
3	89	55	73	62
66	78	80	20	99
71	3	81	7	36
86	51	28	92	1
56	27	42	79	99
48	94	72	36	48
78	96	56	51	57
95	77	84	61	30
24	60	65	91	70
70	32	70	68	44
